Ad group report
"October 1, 2016 - September 16, 2026"
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Paused,C_SP_Onda Verde,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,27.81,32,11,34.38%,0.08,0.89,[],[],0.00,0,0.00,0.00%,0.00,0.00
Paused,C_SP_Ilhabela,DSA_VivaReal_ Geral,BRL, --,0.48,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,12.37,"237,244","35,133",14.81%,0.08,2933.93,[],[],0.00,0,0.00,8.51%,"2,989.00",0.98
Enabled,C_SP_Santo Andre,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,20.66,"91,720","19,288",21.03%,0.10,1895.24,[],[],0.00,0,0.00,19.30%,"3,722.00",0.51
Enabled,C_PE_Recife,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,15.41,"122,951","21,833",17.76%,0.09,1895.05,[],[],0.00,0,0.00,17.01%,"3,713.00",0.51
Enabled,C_SP_Ribeirao Pires,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,17.68,"8,670","2,026",23.37%,0.08,153.29,[],[],0.00,0,0.00,15.55%,315.00,0.49
Enabled,C_RS_Bento Goncalves,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,7.77,"5,163",721,13.96%,0.06,40.13,[],[],0.00,0,0.00,8.60%,62.00,0.65
Enabled,C_SP_Anhumas,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Rubiacea,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Nova Independencia,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Mogi Mirim,Teste Ordenação 10% 2018-06-04,BRL,0.16 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,4.07,27,3,11.11%,0.04,0.11,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Aguai,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,7.50,8,1,12.50%,0.06,0.06,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Pedreira,Teste Ordenação 10% 2018-06-04,BRL,0.06 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_RS_Alvorada,Teste Ordenação 10% 2018-06-04,BRL,0.09 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,8.94,113,20,17.70%,0.05,1.01,[],[],0.00,0,0.00,25.00%,5.00,0.20
Paused,C_RJ_Engenheiro Paulo de Frontin,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Castilho,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Cassia dos Coqueiros,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,31,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Bastos,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Serrana,Teste Ordenação 50% 2018-06-13,BRL,0.05 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,5.32,421,67,15.91%,0.03,2.24,[],[],0.00,0,0.00,10.45%,7.00,0.32
Enabled,C_SP_Itaquaquecetuba,Teste Ordenação 10% 2018-06-04,BRL,0.14 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,4.47,114,11,9.65%,0.05,0.51,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Salesopolis,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,8.57,21,4,19.05%,0.05,0.18,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Parisi,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Ilha Comprida,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,14.48,"92,060","10,730",11.66%,0.12,1333.04,[],[],0.00,0,0.00,4.74%,509.00,2.62
