Search keyword report
"May 16, 2025 - September 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,casas para alugar são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa SP,Eligible,,,"227,619","45,805",20.12%,BRL,0.37,16797.29,"45,805",9.28%,"4,252.83",0.37,3.95
Enabled,apartamentos em moema,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,490,101,20.61%,BRL,0.51,51.97,101,2.67%,2.69,0.51,19.30
Enabled,apartamento para alugar perto do metrô sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,527,76,14.42%,BRL,0.41,31.39,76,10.29%,7.82,0.41,4.01
Enabled,aluguel sao paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"11,108","2,040",18.37%,BRL,0.45,923.51,"2,040",11.88%,242.45,0.45,3.81
Enabled,alugar em são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"10,016","1,858",18.55%,BRL,0.43,799.72,"1,858",11.22%,208.55,0.43,3.83
Enabled,apartamento jardim paulista,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"2,221",294,13.24%,BRL,0.64,187.47,294,12.08%,35.51,0.64,5.28
Enabled,apartamento no ipiranga,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,761,143,18.79%,BRL,0.50,70.93,143,13.82%,19.76,0.50,3.59
Enabled,ap zona norte,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,359,52,14.48%,BRL,0.51,26.35,52,8.29%,4.31,0.51,6.11
Enabled,alugar barato em são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,663,100,15.08%,BRL,0.51,51.13,100,11.06%,11.06,0.51,4.62
Enabled,aluguel são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"49,076","9,096",18.53%,BRL,0.44,3958.12,"9,096",11.15%,"1,013.86",0.44,3.90
Enabled,aluguel de apartamento são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"43,737","8,978",20.53%,BRL,0.44,3907.44,"8,978",10.70%,960.47,0.44,4.07
Enabled,alugar apartamento são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"32,871","5,991",18.23%,BRL,0.51,3081.55,"5,991",12.34%,739.37,0.51,4.17
Enabled,apartamento são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"26,709","3,847",14.40%,BRL,0.53,2025.46,"3,847",11.92%,458.41,0.53,4.42
Enabled,aptos zona sul,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"1,262",202,16.01%,BRL,0.46,93.52,202,9.09%,18.36,0.46,5.09
Enabled,apartamento aluguel sao paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"26,416","5,410",20.48%,BRL,0.42,2260.34,"5,410",9.47%,512.25,0.42,4.41
Enabled,aluguel sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"29,322","6,009",20.49%,BRL,0.42,2548.67,"6,009",11.91%,715.92,0.42,3.56
Enabled,apartamento para alugar em sp,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,"17,483","3,316",18.97%,BRL,0.43,1419.30,"3,316",10.94%,362.65,0.43,3.91
Enabled,studio brooklin,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,453,74,16.34%,BRL,0.36,26.60,74,5.59%,4.14,0.36,6.43
Enabled,apartamento em brooklin,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,,9,2,22.22%,BRL,0.19,0.38,2,0.00%,0.00,0.19,0.00
Enabled,Casa locação indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"3,556",851,23.93%,BRL,0.37,314.13,851,10.39%,88.45,0.37,3.55
Enabled,casa para alugar sorocaba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"34,038","7,401",21.74%,BRL,0.35,2614.75,"7,401",10.75%,795.25,0.35,3.29
Enabled,aluguel casa no ipanema ville sorocaba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa Sorocaba,Not eligible,rarely served,,0,0, --,BRL,0,0.00,0,0.00%,0.00,0,0.00
Enabled,imoveis indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"3,101",305,9.84%,BRL,0.40,123.02,305,11.49%,35.06,0.40,3.51
Enabled,casa para alugar indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"16,248","3,771",23.21%,BRL,0.43,1627.82,"3,771",13.02%,491.03,0.43,3.32
Enabled,casa para alugar em sorocaba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"42,277","9,107",21.54%,BRL,0.31,2788.13,"9,107",7.51%,683.97,0.31,4.08
Enabled,studio para alugar em Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,650,98,15.08%,BRL,0.50,48.95,98,2.78%,2.72,0.50,17.99
Enabled,aluguel Casa indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"4,041","1,049",25.96%,BRL,0.35,362.77,"1,049",7.21%,75.67,0.35,4.79
Enabled,apartamento mobiliado Campinas aluguel,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,232,53,22.84%,BRL,0.55,29.41,53,21.12%,11.20,0.55,2.63
Enabled,alugar Casa indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"1,481",443,29.91%,BRL,0.33,147.63,443,11.56%,51.20,0.33,2.88
Enabled,apartamento para alugar em Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"4,336","1,058",24.40%,BRL,0.48,507.25,"1,058",9.32%,98.63,0.48,5.14
Enabled,imóveis indaiatuba aluguel,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,752,119,15.82%,BRL,0.33,39.85,119,8.56%,10.19,0.33,3.91
Enabled,apartamento indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"7,163","1,145",15.98%,BRL,0.37,423.99,"1,145",11.34%,129.81,0.37,3.27
Enabled,apartamentos para alugar Campinas centro,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,520,123,23.65%,BRL,0.39,47.84,123,9.59%,11.79,0.39,4.06
Enabled,casas para alugar indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"4,140","1,033",24.95%,BRL,0.38,397.22,"1,033",13.56%,140.07,0.38,2.84
Enabled,apartamento para alugar campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"35,759","7,952",22.24%,BRL,0.42,3376.45,"7,952",11.33%,901.03,0.42,3.75
Enabled,casa com piscina para alugar sorocaba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,"1,414",313,22.14%,BRL,0.25,79.11,313,4.07%,12.74,0.25,6.21
Enabled,alugar apartamento Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"2,928",701,23.94%,BRL,0.53,373.19,701,12.77%,89.53,0.53,4.17
Enabled,kitnet para alugar Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"6,306","1,257",19.93%,BRL,0.43,538.40,"1,257",12.59%,158.22,0.43,3.40
Enabled,aluguel indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"18,567","4,194",22.59%,BRL,0.38,1583.05,"4,194",8.76%,367.38,0.38,4.31
Enabled,apartamento Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"17,576","3,281",18.67%,BRL,0.43,1416.31,"3,281",10.60%,347.66,0.43,4.07
Enabled,alugar apartamento indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,"4,619","1,017",22.02%,BRL,0.37,377.13,"1,017",9.84%,100.09,0.37,3.77
Enabled,aluguel campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"14,692","3,576",24.34%,BRL,0.40,1433.66,"3,576",11.80%,422.01,0.40,3.40
Enabled,studio para alugar em indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,214,43,20.09%,BRL,0.30,12.97,43,2.99%,1.29,0.30,10.09
Enabled,apartamento locação indaiatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,,798,188,23.56%,BRL,0.45,84.32,188,12.86%,24.17,0.45,3.49
Enabled,aluguel barato em Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,298,65,21.81%,BRL,0.28,18.49,65,12.19%,7.93,0.28,2.33
Enabled,casa para alugar no campolim sorocaba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa Sorocaba,Eligible,,,828,216,26.09%,BRL,0.22,48.08,216,4.62%,9.98,0.22,4.82
Enabled,imoveis Campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Campinas,Eligible,,,"17,201","3,791",22.04%,BRL,0.37,1388.67,"3,791",8.77%,332.58,0.37,4.18
